#SubG n    Name                           MType      E(B-V)  (m-M)   E     e      D   E   e  D(MW) V(MW) D(M31) V(M31) D(LG) V(LG)  Vmag   E    e    Ell    VMag   E    e    R2   E   e      Mass    sigma*   E    e  vsini*   e     M.HI   sigHI   e    v.HI   e     Mdyn  [Fe/H]   e  
#                                                      mag    mag   mag   mag    kpc kpc kpc   kpc  km/s    kpc   km/s   kpc  km/s   mag  mag  mag          mag   mag  mag   pc   pc  pc   10+6Msun    km/s km/s km/s   km/s km/s  10+6Msun  km/s km/s   km/s km/s 10+6Msun  [Sun] [Sun]

Rest N    Antlia                         dIrr        0.079  25.65  0.10  0.10  1349  62  62  1350   151   2039     39  1684    66  15.2  0.2  0.2   0.40  -10.4  0.2  0.2   471  52  52     1.30000   99.9 99.9 99.9   99.9 99.9   7.3e-01   6.4  0.7  999.9 99.9   999.99  -1.60  0.10
Rest N    Sextans-A                      dIrr        0.045  25.78  0.08  0.08  1432  53  53  1435   163   2027     73  1711    94  11.5  0.1  0.1   0.17  -14.3  0.1  0.1  1029 999 999    44.00000   99.9 99.9 99.9   99.9 99.9   7.7e+01   8.0  1.0   20.0  2.0   999.99  -1.85 99.99
Rest N    HIZSS-3(A)                     (d)Irr?     1.013  26.12  0.14  0.14  1675 108 108  1682   139   1923    105  1760   109  99.9 99.9 99.9   0.00  999.9 99.9 99.9  9999 999 999  9999.99999   99.9 99.9 99.9   99.9 99.9   1.4e+01  99.9 99.9   42.0  4.0   999.99  99.99 99.99
Rest N    HIZSS-3B                       (d)Irr?     1.013  26.12  0.14  0.14  1675 108 108  1682   174   1923    140  1760   143  99.9 99.9 99.9   0.00  999.9 99.9 99.9  9999 999 999  9999.99999   99.9 99.9 99.9   99.9 99.9   2.6e+00  99.9 99.9  999.9 99.9   999.99  99.99 99.99
Rest N    KKR-25                         dIrr/dSph   0.009  26.40  0.07  0.07  1905  61  61  1904    31   1853     77  1838    67  15.9  0.2  0.2   0.41  -10.5  0.2  0.2   222 999 999     1.40000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -2.10  0.30
Rest N    ESO-410--G-005                 dIrr/dSph   0.014  26.42  0.04  0.04  1923  35  35  1922  9999   1862   9999  1852  9999  14.9  0.3  0.3   0.37  -11.5  0.3  0.3   280 999 999     3.50000   99.9 99.9 99.9   99.9 99.9   7.3e-01  14.2  0.6  999.9 99.9   999.99  -1.93  0.20
Rest N    NGC-55                         Irr         0.013  26.43  0.12  0.12  1932 107 107  1930    98   1964    117  1909   111   7.9  0.1  0.1   0.83  -18.5  0.2  0.2  2900 999 999  2200.00000   99.9 99.9 99.9   99.9 99.9   1.3e+03  99.9 99.9   86.0  6.0   999.99  99.99 99.99
Rest N    ESO-294--G-010                 dIrr/dSph   0.006  26.54  0.04  0.04  2032  37  37  2030    72   2090     85  2023    81  15.3  0.3  0.3   0.51  -11.2  0.3  0.3   248  24  24     2.70000   99.9 99.9 99.9   99.9 99.9   3.4e-01   9.7  0.9  999.9 99.9   999.99  -1.48  0.17
Rest N    NGC-300                        Sc          0.013  26.59  0.06  0.06  2080  57  57  2079   103   2078    122  2042   116   8.1  0.1  0.1   0.29  -18.5  0.1  0.1  3025 999 999  2100.00000   99.9 99.9 99.9   99.9 99.9   1.8e+03  13.0  5.0   98.8  3.1   999.99  99.99 99.99
Rest N    IC-5152                        dIrr        0.025  26.45  0.05  0.05  1950  45  45  1945    81   2211     68  2047    73  10.9 99.9 99.9   0.38  -15.6 99.9 99.9   550 999 999   270.00000   99.9 99.9 99.9   99.9 99.9   8.7e+01  99.9 99.9  999.9 99.9   999.99  99.99 99.99
Rest N    KKH-98                         dIrr        0.123  27.01  0.09  0.09  2523 105 105  2526    60   1762    184  2140   152  15.2  0.3  0.3   0.41  -11.8  0.3  0.3   470  48  48     4.50000   99.9 99.9 99.9   99.9 99.9   6.6e+00  99.9 99.9  999.9 99.9   999.99  -1.94  0.25
Rest N    UKS-2323-326                   dIrr        0.015  26.72  0.09  0.09  2208  92  92  2205    74   2153    107  2145    99  13.5  0.2  0.2   0.10  -13.2  0.2  0.2   578  69  69    17.00000   99.9 99.9 99.9   99.9 99.9   1.7e+01  99.9 99.9  999.9 99.9   999.99  -1.68  0.19
Rest N    KKR-3                          dIrr        0.014  26.70  0.12  0.12  2188 121 121  2187   135   2464    121  2297   127  17.2  0.3  0.3   0.05   -9.5  0.3  0.3   229  28  28     0.54000   99.9 99.9 99.9   99.9 99.9   2.5e+00   7.5  0.5  999.9 99.9   999.99  -2.02  0.25
Rest N    GR-8                           dIrr        0.026  26.69  0.12  0.12  2178 120 120  2177   182   2699    117  2421   136  14.5  0.2  0.2   0.20  -12.2  0.2  0.2   203  28  28     6.40000   99.9 99.9 99.9   99.9 99.9   1.1e+01   7.0  0.2  999.9 99.9   999.99  99.99 99.99
Rest N    UGC-9128                       dIrr        0.023  26.80  0.04  0.04  2291  42  42  2288   195   2686    159  2465   172  14.4  0.3  0.3   0.40  -12.4  0.3  0.3   427  47  47     7.80000   99.9 99.9 99.9   99.9 99.9   1.8e+01  15.0 99.9   56.0 99.9   999.99  -2.33  0.24
Rest N    UGC-8508                       dIrr        0.015  27.06  0.03  0.03  2582  36  36  2583   165   2609    184  2566   181  13.7  0.1  0.1   0.45  -13.4  0.1  0.1   315  30  30    19.00000   99.9 99.9 99.9   99.9 99.9   2.9e+01  99.9 99.9   31.2  2.3   999.99  -1.91  0.19
Rest N    IC-3104                        dIrr        0.410  26.78  0.18  0.18  2270 188 188  2266   242   2923    144  2588   170  12.8 99.9 99.9   0.52  -14.0 99.9 99.9  1327 999 999    62.00000   99.9 99.9 99.9   99.9 99.9   1.3e+01  99.9 99.9  999.9 99.9   999.99  99.99 99.99
Rest N    DDO-125                        dIrr        0.020  27.06  0.05  0.05  2582  59  59  2584   245   2764    237  2646   240  12.7  0.3  0.3   0.41  -14.4  0.3  0.3   781  77  77    47.00000   99.9 99.9 99.9   99.9 99.9   3.5e+01   7.3  1.5   11.2  2.7   999.99  -1.73  0.17
Rest N    UGCA-86                        dIrr        0.938  27.36  0.17  0.17  2965 232 232  2971   209   2387    302  2663   275  14.2 99.9 99.9   0.32  -13.2 99.9 99.9   811 999 999    16.00000   99.9 99.9 99.9   99.9 99.9   8.6e+02   8.8  1.0  122.0  5.0   999.99  99.99 99.99
Rest N    DDO-99                         dIrr        0.026  27.07  0.14  0.14  2594 167 167  2596   272   2824    252  2683   257  13.9  0.1  0.1   0.29  -13.2  0.2  0.2   679  81  81    16.00000   99.9 99.9 99.9   99.9 99.9   5.2e+01  99.9 99.9  999.9 99.9   999.99  -2.13  0.22
Rest N    IC-4662                        dIrr        0.070  26.94  0.17  0.17  2443 191 191  2436   192   3027    116  2722   139  11.1  0.3  0.3   0.27  -15.8  0.3  0.3   341  44  44   190.00000   99.9 99.9 99.9   99.9 99.9   1.8e+02  99.9 99.9  999.9 99.9   999.99  -1.34  0.13
Rest N    DDO-190                        dIrr        0.012  27.23  0.03  0.03  2793  39  39  2793   256   2917    263  2829   263  12.8  0.1  0.1   0.10  -14.4  0.1  0.1   520  49  49    51.00000   99.9 99.9 99.9   99.9 99.9   4.3e+01  10.0  2.4   24.7  2.5   999.99  -2.00  0.08
Rest N    KKH-86                         dIrr        0.027  27.06  0.16  0.16  2582 190 190  2578   259   3157    186  2856   209  17.1  0.3  0.3   0.39  -10.0  0.3  0.3   210  27  27     0.82000   99.9 99.9 99.9   99.9 99.9   8.8e-01  99.9 99.9  999.9 99.9   999.99  -2.33  0.29
Rest N    NGC-4163                       dIrr        0.020  27.28  0.03  0.03  2858  39  39  2860   184   3119    159  2966   166  13.2  0.3  0.3   0.30  -14.1  0.3  0.3   374  42  42    37.00000   99.9 99.9 99.9   99.9 99.9   7.9e+00   7.4 99.9    8.7 99.9   999.99  -1.65  0.15
Rest N    DDO-113                        dIrr        0.020  27.35  0.06  0.06  2951  82  82  2953   305   3210    280  3058   287  16.4  0.3  0.3   0.00  -11.0  0.3  0.3   601  62  62     2.10000   99.9 99.9 99.9   99.9 99.9   4.8e+01  99.9 99.9  999.9 99.9   999.99  -1.99  0.21

