#SubG n    Name                           MType      E(B-V)  (m-M)   E     e      D   E   e  D(MW) V(MW) D(M31) V(M31) D(LG) V(LG)  Vmag   E    e    Ell    VMag   E    e    R2   E   e      Mass    sigma*   E    e  vsini*   e     M.HI   sigHI   e    v.HI   e     Mdyn  [Fe/H]   e  
#                                                      mag    mag   mag   mag    kpc kpc kpc   kpc  km/s    kpc   km/s   kpc  km/s   mag  mag  mag          mag   mag  mag   pc   pc  pc   10+6Msun    km/s km/s km/s   km/s km/s  10+6Msun  km/s km/s   km/s km/s 10+6Msun  [Sun] [Sun]

MW   G    Hercules                       dSph        0.063  20.60  0.20  0.20   132  12  12   126   145    826    133   444   141  14.0  0.3  0.3   0.68   -6.6  0.4  0.4   330  75  52     0.03700    3.7  0.9  0.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     2.60  -2.41  0.04
MW   G    Fornax                         dSph        0.021  20.84  0.18  0.18   147  12  12   149   -33    772    -24   394   -30   7.4  0.3  0.3   0.30  -13.4  0.3  0.3   710  77  77    20.00000   11.7  0.9  0.9   99.9 99.9   1.7e-01  99.9 99.9  999.9 99.9    56.00  -0.99  0.01
MW   G    Leo-IV                         dSph        0.026  20.94  0.09  0.09   154   6   6   155    13    899    -78   513   -54  15.1  0.4  0.4   0.49   -5.8  0.4  0.4   206  37  37     0.01900    3.3  1.7  1.7   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     1.30  -2.54  0.07
MW   G    Canes-Venatici-II              dSph        0.010  21.02  0.06  0.06   160   4   4   161   -95    837   -122   458  -113  16.1  0.5  0.5   0.52   -4.9  0.5  0.5    74  14  14     0.00790    4.6  1.0  1.0   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     0.91  -2.21  0.05
MW   G    Leo-V                          dSph        0.027  21.25  0.12  0.12   178  10  10   179    59    915    -30   530    -7  16.0  0.4  0.4   0.50   -5.2  0.4  0.4   135  32  32     0.01100    3.7  2.3  1.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     1.10  -2.00  0.20
MW   G    Pisces-II                      dSph        0.065  21.30 99.99 99.99   182 999 999   181  9999    660   9999   285  9999  16.3  0.5  0.5   0.40   -5.0 99.9 99.9    58  99  99     0.00860   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.90 99.99
MW   G    Canes-Venatici-(I)             dSph        0.014  21.69  0.10  0.10   218  10  10   218    78    864     54   493    62  13.1  0.2  0.2   0.39   -8.6  0.2  0.2   564  36  36     0.23000    7.6  0.4  0.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    19.00  -1.98  0.01
MW   G    Leo-II                         dSph        0.017  21.84  0.13  0.13   233  14  14   236    24    901    -29   529   -16  12.0  0.3  0.3   0.13   -9.8  0.3  0.3   176  42  42     0.74000    6.6  0.7  0.7   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     4.60  -1.62  0.01
MW   G,L  Leo-I                          dSph        0.036  22.02  0.13  0.13   254  15  15   258   174    922    111   551   125  10.0  0.3  0.3   0.21  -12.0  0.3  0.3   251  27  27     5.50000    9.2  1.4  1.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    12.00  -1.43  0.01
M31  A    Andromeda                      Sb          0.684  24.47  0.07  0.07   783  25  25   787  -122      0      0   392   -34  99.9 99.9 99.9   0.00  999.9 99.9 99.9  9999 999 999  9999.99999   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  99.99 99.99
M31  A    M32                            cE          0.154  24.53  0.21  0.21   805  78  78   809   -22     23    100   414    67   8.1  0.1  0.1   0.25  -16.4  0.2  0.2   110  16  16   320.00000   92.0  5.0  5.0   55.0  3.0   9.9e+99  99.9 99.9  999.9 99.9   540.00  -0.25 99.99
M31  A    Andromeda-IX                   dSph        0.075  24.42  0.07  0.07   766  25  25   770   -32     40     90   375    56  16.3  1.1  1.1   0.00   -8.1  1.1  1.1   557  29  29     0.15000    4.5  3.6  3.6   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     6.50  -2.20  0.20
M31  A    NGC-205                        dE/dSph     0.085  24.58  0.07  0.07   824  27  27   828   -67     42     56   433    22   8.1  0.1  0.1   0.43  -16.5  0.1  0.1   590  31  31   330.00000   35.0  5.0  5.0   11.0  5.0   4.0e-01  16.1 99.9  999.9 99.9   420.00  -0.80  0.20
M31  A    Andromeda-XVII                 dSph        0.074  24.50  0.10  0.10   794  37  37   798  9999     45   9999   404  9999  15.8  0.4  0.4   0.27   -8.7  0.4  0.4   286  23  23     0.26000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.90  0.20
M31  A    Andromeda-I                    dSph        0.053  24.36  0.07  0.07   745  24  24   749  -204     58    -82   355  -116  12.7  0.1  0.1   0.22  -11.7  0.1  0.1   672  69  69     3.90000   10.6  1.1  1.1   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    44.00  -1.45  0.04
M31  A    Andromeda-XXVII                dSph        0.080  24.59  0.12  0.12   828  46  46   832  9999     75   9999   439  9999  16.7  0.5  0.5   0.40   -7.9  0.5  0.5   434  76  76     0.12000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.70  0.20
M31  A    Andromeda-III                  dSph        0.056  24.37  0.07  0.07   748  24  24   752  -171     75    -49   360   -83  14.4  0.3  0.3   0.52  -10.0  0.3  0.3   479  46  46     0.83000    4.7  1.8  1.8   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     6.10  -1.78  0.04
M31  A    Andromeda-XXV                  dSph        0.101  24.55  0.12  0.12   813  45  45   817  9999     88   9999   426  9999  14.8  0.5  0.5   0.25   -9.7  0.5  0.5   709  61  61     0.68000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80  0.20
M31  A    Andromeda-XXVI                 dSph        0.110  24.41  0.12  0.12   762  42  42   766  9999    103   9999   377  9999  17.3  0.5  0.5   0.25   -7.1  0.5  0.5   222  25  25     0.06000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.90  0.20
M31  A    Andromeda-XI                   dSph        0.080  24.40  0.20  0.50   759  70 175   763  -255    104   -134   374  -167  17.5  1.2  1.2   0.00   -6.9  1.3  1.3   157  16  37     0.04900    4.6 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     1.90  -2.00  0.20
M31  A    Andromeda-V                    dSph        0.125  24.44  0.08  0.08   773  28  28   778  -229    110   -109   389  -143  15.3  0.2  0.2   0.18   -9.1  0.2  0.2   315  46  46     0.39000   11.5  5.3  4.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.60  0.30
M31  A    Andromeda-X                    dSph        0.129  24.23  0.21  0.21   701  68  68   706     8    110    128   314    95  16.6  1.0  1.0   0.44   -7.6  1.0  1.0   265  33  33     0.09600    3.9  1.2  1.2   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     2.30  -1.93  0.11
M31  A    Andromeda-XXIII                dSph        0.066  24.43  0.13  0.13   769  46  46   774  9999    127   9999   388  9999  14.2  0.5  0.5   0.40  -10.2  0.5  0.5  1029  76  76     1.10000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80  0.20
M31  A    Andromeda-XX                   dSph        0.059  24.52  0.74  0.24   802 273  89   805  9999    129   9999   420  9999  18.2  0.8  0.8   0.30   -6.3  1.1  0.8   124  53  17     0.02900   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.50  0.10
M31  A,L  Andromeda-XII                  dSph        0.110  24.70  0.30  0.30   871 120 120   875  -393    133   -272   485  -306  18.3  1.2  1.2   0.00   -6.4  1.2  1.2   304  66  66     0.03100    2.6  5.1  2.6   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     1.20  -2.10  0.20
M31  A    NGC-147                        dE/dSph     0.172  24.15  0.09  0.09   676  28  28   680    -4    142    118   292    85   9.5  0.1  0.1   0.41  -14.6  0.1  0.1   623 999 999    62.00000   16.0  1.0  1.0   17.0  2.0   9.9e+99  99.9 99.9  999.9 99.9    93.00  -1.10  0.10
M31  A    Andromeda-XXI                  dSph        0.093  24.67  0.13  0.13   859  51  51   862  9999    150   9999   476  9999  14.8  0.6  0.6   0.20   -9.9  0.6  0.6   875  91  91     0.76000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80  0.20
M31  A,L  Andromeda-XIV                  dSph        0.060  24.33  0.33  0.33   735 112 112   739  -326    162   -208   361  -240  15.9  0.5  0.5   0.31   -8.4  0.6  0.6   363 180 180     0.20000    5.4  1.3  1.3   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     6.10  -2.26  0.05
M31  A    Andromeda-XV                   dSph        0.047  24.00  0.20  0.20   631  58  58   636  -180    174    -61   247   -95  14.6  0.3  0.3   0.00   -9.4  0.4  0.4   222  22  22     0.49000   11.0  7.0  5.0   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    16.00  -1.80  0.20
M31  A    Andromeda-XIII                 dSph        0.082  24.80  0.10  0.40   912  42 168   916   -34    180     86   528    53  18.1  1.2  1.2   0.00   -6.7  1.3  1.3   207  23  44     0.04100    9.7  8.9  4.5   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    11.00  -1.90  0.20
M31  A    Andromeda-II                   dSph        0.061  24.07  0.06  0.06   652  18  18   657   -44    184     73   276    40  11.7  0.2  0.2   0.20  -12.4  0.2  0.2  1176  50  50     7.60000    7.3  0.8  0.8   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    36.00  -1.64  0.04
M31  A    NGC-185                        dE/dSph     0.184  23.95  0.09  0.09   617  26  26   621   -17    187    105   234    72   9.2  0.1  0.1   0.15  -14.8  0.1  0.1   458 999 999    68.00000   24.0  1.0  1.0   15.0  5.0   1.1e-01  15.3  0.8  999.9 99.9   150.00  -1.30  0.10
M31  A    Andromeda-XXIX                 dSph        0.046  24.32  0.22  0.22   731  74  74   734  9999    188   9999   363  9999  16.0  0.3  0.3   0.35   -8.3  0.4  0.4   361  56  56     0.18000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80 99.99
M31  A    Andromeda-XIX                  dSph        0.062  24.85  0.13  0.13   933  56  56   936  9999    189   9999   548  9999  15.6  0.6  0.6   0.17   -9.2  0.6  0.6  1683 105 105     0.43000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.90  0.10
M31  A    Triangulum                     Sc          0.041  24.54  0.06  0.06   809  22  22   814   -45    206     69   442    37   5.7  0.1  0.1   0.41  -18.8  0.1  0.1  9999 999 999  2900.00000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  99.99 99.99
M31  A    Andromeda-XXIV                 dSph        0.083  23.89  0.12  0.12   600  33  33   605  9999    208   9999   220  9999  16.3  0.5  0.5   0.25   -7.6  0.5  0.5   367  27  27     0.09300   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80  0.20
M31  A    Andromeda-VII                  dSph        0.194  24.41  0.10  0.10   762  35  35   765   -98    218     24   401    -8  11.8  0.3  0.3   0.13  -12.6  0.3  0.3   776  42  42     9.50000    9.7  1.6  1.6   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    42.00  -1.40  0.30
M31  A    Andromeda-XXII                 dSph        0.079  24.50 99.99 99.99   794 999 999   799  9999    221   9999   432  9999  18.0  0.8  0.8   0.56   -6.5  9.9  9.9   217  99  99     0.03400   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80 99.99
